customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-13278,Male,1,No,Yes,62,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,116.17,7202.54,No
5506-42098,Female,0,No,No,69,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,27.35,1887.15,Yes
4657-28289,Male,0,No,No,63,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),109.3,6885.9,Yes
2679-98696,Male,1,Yes,No,2,Yes,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),85.77,171.54,Yes
9935-21395,Male,0,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),106.03,5725.62,No
7912-14165,Female,0,Yes,No,16,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.5,568.0,No
1488-22280,Male,1,Yes,No,55,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,110.65,6085.75,No
4582-40495,Male,0,No,Yes,43,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,115.79,4978.97,No
9279-88907,Male,1,No,Yes,61,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),110.67,6750.87,No
1434-83563,Female,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),98.55,3744.9,No
4257-95181,Male,0,No,Yes,45,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,29.03,1306.35,No
